year,suburb,res_type,seat_indoor,seat_outdoor,all_seat
2004,Southbank,Takeaway Food Services,57.0,9.0,66.0
2004,West Melbourne,Cafes and Restaurants,1359.0,171.0,1530.0
2004,West Melbourne,"Pubs, Taverns and Bars",1203.0,35.0,1238.0
2004,West Melbourne,Takeaway Food Services,70.0,22.0,92.0
2005,Carlton,Cafes and Restaurants,9663.0,2525.0,12188.0
2005,Carlton,"Pubs, Taverns and Bars",1426.0,182.0,1608.0
2005,Carlton,Takeaway Food Services,312.0,170.0,482.0
2005,Docklands,Cafes and Restaurants,8701.0,2113.0,10814.0
2005,Docklands,"Pubs, Taverns and Bars",100.0,16.0,116.0
2005,Docklands,Takeaway Food Services,92.0,6.0,98.0
2005,East Melbourne,Cafes and Restaurants,5469.0,543.0,6012.0
2005,East Melbourne,Takeaway Food Services,44.0,15.0,59.0
2005,Kensington,Cafes and Restaurants,70.0,34.0,104.0
2005,Kensington,"Pubs, Taverns and Bars",130.0,50.0,180.0
2005,Kensington,Takeaway Food Services,34.0,2.0,36.0
2005,Melbourne (CBD),Cafes and Restaurants,44010.0,8180.0,52190.0
2005,Melbourne (CBD),"Pubs, Taverns and Bars",8369.0,678.0,9047.0
2005,Melbourne (CBD),Takeaway Food Services,1889.0,824.0,2713.0
2005,Melbourne (Remainder),Cafes and Restaurants,6577.0,841.0,7418.0
2005,Melbourne (Remainder),Takeaway Food Services,47.0,41.0,88.0
2005,North Melbourne,Cafes and Restaurants,1627.0,407.0,2034.0
2005,North Melbourne,"Pubs, Taverns and Bars",1337.0,151.0,1488.0
2005,North Melbourne,Takeaway Food Services,184.0,110.0,294.0
2005,Parkville,Cafes and Restaurants,1013.0,500.0,1513.0
2005,Parkville,"Pubs, Taverns and Bars",298.0,0.0,298.0
2005,Parkville,Takeaway Food Services,44.0,69.0,113.0
2005,Port Melbourne,Cafes and Restaurants,279.0,94.0,373.0
2005,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2005,South Yarra,Cafes and Restaurants,492.0,93.0,585.0
2005,Southbank,Cafes and Restaurants,5713.0,1827.0,7540.0
2005,Southbank,"Pubs, Taverns and Bars",100.0,0.0,100.0
2005,Southbank,Takeaway Food Services,57.0,9.0,66.0
2005,West Melbourne,Cafes and Restaurants,1434.0,181.0,1615.0
2005,West Melbourne,"Pubs, Taverns and Bars",1217.0,50.0,1267.0
2005,West Melbourne,Takeaway Food Services,76.0,20.0,96.0
2006,Carlton,Cafes and Restaurants,9663.0,2525.0,12188.0
2006,Carlton,"Pubs, Taverns and Bars",1426.0,182.0,1608.0
2006,Carlton,Takeaway Food Services,312.0,170.0,482.0
2006,Docklands,Cafes and Restaurants,8701.0,2113.0,10814.0
2006,Docklands,"Pubs, Taverns and Bars",100.0,16.0,116.0
2006,Docklands,Takeaway Food Services,92.0,6.0,98.0
2006,East Melbourne,Cafes and Restaurants,5469.0,543.0,6012.0
2006,East Melbourne,Takeaway Food Services,44.0,15.0,59.0
2006,Kensington,Cafes and Restaurants,105.0,32.0,137.0
2006,Kensington,"Pubs, Taverns and Bars",130.0,50.0,180.0
2006,Kensington,Takeaway Food Services,68.0,0.0,68.0
2006,Melbourne (CBD),Cafes and Restaurants,45089.0,8415.0,53504.0
2006,Melbourne (CBD),"Pubs, Taverns and Bars",8970.0,647.0,9617.0
2006,Melbourne (CBD),Takeaway Food Services,2023.0,813.0,2836.0
2006,Melbourne (Remainder),Cafes and Restaurants,6500.0,877.0,7377.0
2006,Melbourne (Remainder),Takeaway Food Services,42.0,60.0,102.0
2006,North Melbourne,Cafes and Restaurants,1627.0,407.0,2034.0
2006,North Melbourne,"Pubs, Taverns and Bars",1337.0,151.0,1488.0
2006,North Melbourne,Takeaway Food Services,184.0,110.0,294.0
2006,Parkville,Cafes and Restaurants,1013.0,500.0,1513.0
2006,Parkville,"Pubs, Taverns and Bars",298.0,0.0,298.0
2006,Parkville,Takeaway Food Services,44.0,69.0,113.0
2006,Port Melbourne,Cafes and Restaurants,328.0,136.0,464.0
2006,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2006,South Yarra,Cafes and Restaurants,566.0,96.0,662.0
2006,Southbank,Cafes and Restaurants,6160.0,2127.0,8287.0
2006,Southbank,"Pubs, Taverns and Bars",442.0,98.0,540.0
2006,Southbank,Takeaway Food Services,81.0,63.0,144.0
2006,West Melbourne,Cafes and Restaurants,1434.0,181.0,1615.0
2006,West Melbourne,"Pubs, Taverns and Bars",1217.0,50.0,1267.0
2006,West Melbourne,Takeaway Food Services,76.0,20.0,96.0
2007,Carlton,Cafes and Restaurants,10059.0,2894.0,12953.0
2007,Carlton,"Pubs, Taverns and Bars",1100.0,149.0,1249.0
2007,Carlton,Takeaway Food Services,256.0,186.0,442.0
2007,Docklands,Cafes and Restaurants,9232.0,2228.0,11460.0
2007,Docklands,"Pubs, Taverns and Bars",150.0,61.0,211.0
2007,Docklands,Takeaway Food Services,132.0,40.0,172.0
2007,East Melbourne,Cafes and Restaurants,5238.0,625.0,5863.0
2007,East Melbourne,Takeaway Food Services,62.0,36.0,98.0
2007,Kensington,Cafes and Restaurants,105.0,32.0,137.0
2007,Kensington,"Pubs, Taverns and Bars",130.0,50.0,180.0
2007,Kensington,Takeaway Food Services,68.0,0.0,68.0
2007,Melbourne (CBD),Cafes and Restaurants,45313.0,8688.0,54001.0
2007,Melbourne (CBD),"Pubs, Taverns and Bars",9103.0,677.0,9780.0
2007,Melbourne (CBD),Takeaway Food Services,2005.0,745.0,2750.0
2007,Melbourne (Remainder),Cafes and Restaurants,6500.0,877.0,7377.0
2007,Melbourne (Remainder),Takeaway Food Services,42.0,60.0,102.0
2007,North Melbourne,Cafes and Restaurants,1812.0,385.0,2197.0
2007,North Melbourne,"Pubs, Taverns and Bars",1407.0,168.0,1575.0
2007,North Melbourne,Takeaway Food Services,211.0,106.0,317.0
2007,Parkville,Cafes and Restaurants,1090.0,583.0,1673.0
